date,heart_rate_mean,heart_rate_min,heart_rate_max,heart_rate_std,hrv_mean,hrv_min,hrv_max,hrv_std,steps_sum,steps_max,resting_hr_mean,vo2max_mean,respiratory_rate_mean,respiratory_rate_min,respiratory_rate_max,spo2_percent_mean,spo2_percent_min,active_energy_cal_sum,basal_energy_cal_sum,distance_walk_run_m_sum,flights_sum,exercise_minutes_sum,stand_minutes_sum,sleeping_wrist_temp_degF_mean,sleep_minutes_sum
2018-03-03,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,1874.0,273.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,3.402,420.849,0.7420848800000001,27.0,27.0,54.0,96.2188,0.44999999999999823
2018-03-04,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,2591.0,344.0,70.0,34.25,20.5,20.5,20.5,0.9899999999999999,0.99,4.284,529.958,0.8481222399999999,34.0,34.0,68.0,96.2188,0.5666666666666644
2018-03-05,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,6348.0,274.0,70.0,34.25,20.5,20.5,20.5,0.9900000000000001,0.99,8.316,1028.742,2.358539671,66.0,66.0,132.0,96.2188,1.0999999999999956
2018-03-06,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,3753.0,648.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,5.922,732.5889999999999,1.3292253,47.0,47.0,94.0,96.2188,0.7833333333333302
2018-03-07,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,4492.0,398.0,70.0,34.25,20.5,20.5,20.5,0.9899999999999999,0.99,6.048,748.1759999999999,1.611737622,48.0,48.0,96.0,96.2188,0.7999999999999968
2018-03-08,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,4674.0,544.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,6.3,779.35,1.74674869,50.0,50.0,100.0,96.21880000000002,0.83333333333333
2018-03-09,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,3667.0,358.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,6.552,810.524,1.34992924,52.0,52.0,104.0,96.2188,0.8666666666666633
2018-03-10,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,12795.0,1145.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,7.812,966.394,5.0706464408,62.0,62.0,124.0,96.2188,1.0333333333333292
2018-03-11,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,5275.0,405.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,7.308,904.0459999999999,1.94093332,58.0,58.0,116.0,96.2188,0.9666666666666628
2018-03-12,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,12696.0,410.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,11.592,1434.004,4.519396103,92.0,92.0,184.0,96.2188,1.5333333333333272
2018-03-13,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,9152.0,440.0,70.0,34.25,20.5,20.5,20.5,0.9900000000000001,0.99,9.324,1153.4379999999999,3.080237561,74.0,74.0,148.0,96.2188,1.2333333333333285
2018-03-14,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,4803.0,341.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,6.804,841.698,1.815509273,54.0,54.0,108.0,96.2188,0.8999999999999965
2018-03-15,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,4228.0,429.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,5.922,732.5889999999999,1.6580854999999999,51.0,47.0,94.0,96.2188,0.7833333333333302
2018-03-16,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,3990.0,347.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,6.804,841.698,1.373360322,54.0,54.0,108.0,96.2188,0.8999999999999965
2018-03-17,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,4915.0,392.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,5.67,701.415,2.12137269,45.0,45.0,90.0,96.21880000000002,0.749999999999997
2018-03-18,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,4786.0,475.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,7.812,966.394,1.67572076,62.0,62.0,124.0,96.2188,1.0333333333333292
2018-03-19,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,3789.0,417.0,70.0,34.25,20.5,20.5,20.5,0.9899999999999999,0.99,6.048,748.1759999999999,1.4540769934,48.0,48.0,96.0,96.2188,0.7999999999999968
2018-03-20,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,7161.0,418.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,7.938,981.981,2.6803518,63.0,63.0,126.0,96.2188,1.0499999999999958
2018-03-21,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,6529.0,412.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,7.308,904.0459999999999,2.5414262894,68.0,58.0,116.0,96.2188,0.9666666666666628
2018-03-22,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,6102.0,356.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,7.182,888.459,2.35806033,57.0,57.0,114.0,96.2188,0.9499999999999962
2018-03-23,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,4270.0,438.0,70.0,34.25,20.5,20.5,20.5,0.9900000000000001,0.99,6.93,857.285,1.778109819,55.0,55.0,110.0,96.21879999999999,0.9166666666666631
2018-03-24,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,3300.0,331.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,6.174,763.763,1.25421981,49.0,49.0,98.0,96.2188,0.8166666666666634
2018-03-25,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,4865.0,386.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,7.308,904.0459999999999,1.751068396,58.0,58.0,116.0,96.2188,0.9666666666666628
2018-03-26,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,5696.0,600.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,7.056,872.872,1.9659505397,56.0,56.0,112.0,96.2188,0.9333333333333296
